Statistic,Clarkson,Opponents OPP,Season,Type,"('#', '#')","('Player', 'Player')","('GP', 'GP')","('Shots', 'G')","('Shots', 'A')","('Shots', 'PTS')","('Shots', 'SH')","('Shots', 'SH%')","('Shots', '+/-')","('Goals', 'PPG')","('Goals', 'SHG')","('Goals', 'FG')","('Goals', 'GWG')","('Goals', 'GTG')","('Goals', 'OTG')","('Goals', 'HTG')","('Goals', 'UAG')","('Penalties', 'PN-PIM')","('Penalties', 'MIN')","('Penalties', 'MAJ')","('Penalties', 'OTH')","('BLK', 'BLK')","('Bio Link', 'Bio Link')","('Season', '')","('Type', '')","('GP-GS', 'GP-GS')","('MIN', 'MIN')","('Goals', 'GA')","('Goals', 'AVG')","('Goals', 'ENG')","('Saves', 'SV')","('Saves', 'SV%')","('Record', 'W')","('Record', 'L')","('Record', 'T')","('Record', 'SHO')","('Record', 'SO')","('Unnamed: 0_level_0', 'Date')","('Unnamed: 1_level_0', 'Opponent')","('Unnamed: 2_level_0', 'W/L')","('Shots', 'Score')","('Shots', 'PCT')","('Penalty', 'NO/MIN')","('Goals', 'PP')","('Goals', 'SH')","('Goals', 'EN')","('Goals', 'GW')","('Goals', 'HT')","('Goals', 'UA')","('Unnamed: 17_level_0', 'BLK')","('Unnamed: 3_level_0', 'Score')","('Goals Against', 'Minutes')","('Goals Against', 'GA')","('Goals Against', 'AVG')","('Saves', 'Saves')","('Saves', 'PCT')","('Shot Summary', 'Goals')","('Shot Summary', 'Assists')","('Shot Summary', 'Shots')","('Penalties', 'NO/MIN')","('Penalties', 'Unnamed: 7_level_1')","('Penalties', 'NO/MIN.1')",High,Game(s),Low,Player - Game,Date,Opponent,MIN,GA,SV,PPG,SHG,ENG,SOG,G,A,SH,FW-FL,PN,PIM,CLARKSON
,,,,,29,"Romano, Anthony Romano, Anthony",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12,"Silye, David Silye, David",1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,"Taylor, Kaelan Taylor, Kaelan",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,"Underwood, Michael Underwood, Michael",1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Team,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,0.0,,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,21.0,57.0,90.0,147.0,602.0,0.095,56.0,16.0,1.0,13.0,11.0,1.0,2.0,0.0,3.0,95-212,91.0,2.0,2.0,267.0,,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,21.0,44.0,71.0,115.0,579.0,0.076,-56.0,13.0,1.0,8.0,6.0,3.0,3.0,0.0,3.0,95-223,89.0,3.0,3.0,281.0,,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,"Haider, Ethan Haider, Ethan",,,,,,,,1.0,0.0,,,,,,,,,,,,View Bio,2020-21,Table_4,1-1,60:00,1.0,1.0,0.0,30.0,0.968,1.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,"Haider, Ethan Haider, Ethan",,,,,,,,8.0,1.0,,,,,,,,,,,,View Bio,2020-21,Table_4,17-13,842:11,25.0,1.78,0.0,326.0,0.929,6.0,4.0,4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,33,"Oldham, Kris Oldham, Kris",,,,,,,,4.0,0.0,,,,,,,,,,,,View Bio,2020-21,Table_4,13-7,374:01,17.0,2.73,0.0,172.0,0.91,4.0,2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,42,"Mucitelli, Jacob Mucitelli, Jacob",,,,,,,,0.0,0.0,,,,,,,,,,,,View Bio,2020-21,Table_4,10-0,08:34,1.0,7.0,0.0,4.0,0.8,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Empty Net,,,,,,,,0.0,0.0,,,,,,,,,,,,,2020-21,Table_4,21-0,08:36,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,,,,,,,,13.0,1.0,,,,,,,,,,,,,2020-21,Table_4,21,1293:22,44.0,2.04,0.0,535.0,0.924,11.0,6.0,4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,,,,,,,,16.0,1.0,,,,,,,,,,,,,2020-21,Table_4,21,1293:22,58.0,2.69,1.0,544.0,0.904,6.0,11.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,3.0,5.0,25.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,11/22/20,at Colgate,W,2-1,0.08,1-2,0.0,0.0,0.0,1.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,5.0,10.0,32.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,11/27/20,at RIT,L,5-8,0.156,4-8,0.0,0.0,0.0,0.0,0.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,8.0,13.0,36.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,11/29/20,RIT,W,5-1,0.139,6-12,3.0,0.0,1.0,1.0,0.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,24.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,12/09/20,at Niagara,L,1-4,0.042,2-4,1.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,33.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,12/12/20,at Mercyhurst,W,4-3,0.121,1-2,1.0,0.0,0.0,1.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.0,7.0,13.0,30.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,12/13/20,at Mercyhurst,W,6-2,0.2,5-21,1.0,0.0,0.0,1.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,8.0,12.0,25.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,12/23/20,Colgate,L,4-5,0.16,5-10,1.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.0,10.0,16.0,39.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,12/29/20,Niagara,W,6-3,0.154,5-10,0.0,1.0,0.0,1.0,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,25.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,1/01/21,at Colgate,W,4-1,0.16,5-10,2.0,0.0,0.0,1.0,0.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,30.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,1/03/21,Colgate,T,1-1,0.033,4-8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,6.0,11.0,27.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,1/08/21,at Quinnipiac,W,5-4,0.185,6-12,1.0,0.0,0.0,1.0,0.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,3.0,6.0,21.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,1/09/21,at Quinnipiac,L,3-4,0.143,4-8,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,28.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,1/10/21,at Quinnipiac,L,0-1,0.0,2-4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,1.0,2.0,37.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,1/15/21,St. Lawrence,L,1-2,0.027,5-10,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,3.0,5.0,36.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,1/17/21,at St. Lawrence,W,2-1,0.056,4-8,0.0,0.0,0.0,1.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,1.0,2.0,24.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,1/22/21,Quinnipiac,T,1-1,0.042,7-14,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,27.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,1/23/21,Quinnipiac,T,1-1,0.037,6-12,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,6.0,10.0,26.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,1/24/21,Quinnipiac,W,4-2,0.154,5-10,2.0,0.0,0.0,1.0,0.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,21.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,2/04/21,Colgate,L,0-2,0.0,5-10,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,27.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,2/06/21,at Colgate,T,1-1,0.037,6-12,1.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,39.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,2/26/21,at Colgate,W,3-2,0.077,5-10,2.0,0.0,0.0,1.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,21.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,2/28/21,Colgate,W,3-2,0.143,6-23,1.0,0.0,0.0,1.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,62.0,95.0,157.0,633.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,,Clarkson,,62-52,0.098,99-220,16.0,1.0,1.0,11.0,0.0,4.0,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,52.0,84.0,136.0,601.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_5,,,,,,,,,,,,,,Opponents,,52-62,0.087,97-227,15.0,1.0,1.0,7.0,1.0,4.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,1.0,0.0,0.0,,,11/22/20,at Colgate,W,,,,0.0,0.0,0.0,,,,,2-1,60:00,1.0,1.0,23.0,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,0.0,1.0,0.0,,,11/27/20,at RIT,L,,,,2.0,0.0,1.0,,,,,5-8,60:00,8.0,7.0,14.0,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,1.0,0.0,0.0,,,11/29/20,RIT,W,,,,1.0,0.0,0.0,,,,,5-1,60:00,1.0,1.0,30.0,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,0.0,1.0,0.0,,,12/09/20,at Niagara,L,,,,0.0,0.0,0.0,,,,,1-4,60:00,4.0,4.0,27.0,0.871,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,1.0,0.0,0.0,,,12/12/20,at Mercyhurst,W,,,,1.0,0.0,0.0,,,,,4-3,63:05,3.0,2.86,24.0,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,1.0,0.0,0.0,,,12/13/20,at Mercyhurst,W,,,,1.0,0.0,0.0,,,,,6-2,60:00,2.0,2.0,23.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,0.0,1.0,0.0,,,12/23/20,Colgate,L,,,,1.0,0.0,0.0,,,,,4-5,63:10,5.0,4.76,21.0,0.808,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,1.0,0.0,0.0,,,12/29/20,Niagara,W,,,,1.0,0.0,0.0,,,,,6-3,60:00,3.0,3.0,24.0,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,1.0,0.0,0.0,,,1/01/21,at Colgate,W,,,,0.0,0.0,0.0,,,,,4-1,60:00,1.0,1.0,36.0,0.973,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,0.0,0.0,1.0,,,1/03/21,Colgate,T,,,,0.0,0.0,0.0,,,,,1-1,65:00,1.0,0.92,13.0,0.929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,1.0,0.0,0.0,,,1/08/21,at Quinnipiac,W,,,,2.0,0.0,0.0,,,,,5-4,63:41,4.0,3.81,19.0,0.826,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,0.0,1.0,0.0,,,1/09/21,at Quinnipiac,L,,,,1.0,0.0,0.0,,,,,3-4,62:29,4.0,3.87,43.0,0.915,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,0.0,1.0,0.0,,,1/10/21,at Quinnipiac,L,,,,0.0,0.0,0.0,,,,,0-1,60:00,1.0,1.0,14.0,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,0.0,1.0,0.0,,,1/15/21,St. Lawrence,L,,,,1.0,0.0,0.0,,,,,1-2,60:57,2.0,2.0,29.0,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,1.0,0.0,0.0,,,1/17/21,at St. Lawrence,W,,,,1.0,0.0,0.0,,,,,2-1,60:00,1.0,1.0,30.0,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,0.0,0.0,1.0,,,1/22/21,Quinnipiac,T,,,,0.0,0.0,0.0,,,,,1-1,65:00,1.0,0.92,35.0,0.972,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,0.0,0.0,1.0,,,1/23/21,Quinnipiac,T,,,,0.0,0.0,0.0,,,,,1-1,65:00,1.0,0.92,14.0,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,1.0,0.0,0.0,,,1/24/21,Quinnipiac,W,,,,1.0,0.0,0.0,,,,,4-2,60:00,2.0,2.0,37.0,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,0.0,1.0,0.0,,,2/04/21,Colgate,L,,,,1.0,0.0,0.0,,,,,0-2,60:00,2.0,2.0,17.0,0.895,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,0.0,0.0,1.0,,,2/06/21,at Colgate,T,,,,0.0,0.0,0.0,,,,,1-1,65:00,1.0,0.92,31.0,0.969,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,1.0,0.0,0.0,,,2/26/21,at Colgate,W,,,,1.0,1.0,0.0,,,,,3-2,60:00,2.0,2.0,24.0,0.923,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,1.0,0.0,0.0,,,2/28/21,Colgate,W,,,,0.0,0.0,0.0,,,,,3-2,60:00,2.0,2.0,21.0,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,11.0,7.0,4.0,,,,Clarkson,,,,,15.0,1.0,1.0,,,,,62-52,1353:22,52.0,2.26,549.0,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_6,,,,,,,,11.0,7.0,4.0,,,,Opponents,,,,,16.0,1.0,1.0,,,,,52-62,1353:22,63.0,2.75,571.0,0.901,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,1.0,2.0,24.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,11/22/20,Colgate,L,1-2,0.042,2-4,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.0,13.0,21.0,22.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,11/27/20,RIT,W,8-5,0.364,2-4,2.0,0.0,1.0,1.0,1.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,31.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,11/29/20,at RIT,L,1-5,0.032,5-10,1.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,31.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,12/09/20,Niagara,W,4-1,0.129,3-17,0.0,0.0,0.0,1.0,0.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,27.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,12/12/20,Mercyhurst,L,3-4,0.111,4-8,1.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,25.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,12/13/20,Mercyhurst,L,2-6,0.08,2-4,1.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,9.0,14.0,26.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,12/23/20,at Colgate,W,5-4,0.192,3-6,1.0,0.0,0.0,1.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,5.0,8.0,27.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,12/29/20,at Niagara,L,3-6,0.111,6-12,1.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,0.0,1.0,37.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,1/01/21,Colgate,L,1-4,0.027,4-8,0.0,0.0,0.0,0.0,0.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,14.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,1/03/21,at Colgate,T,1-1,0.071,5-10,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,23.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,1/08/21,Quinnipiac,L,4-5,0.174,8-16,2.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,47.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,1/09/21,Quinnipiac,W,4-3,0.085,3-6,1.0,0.0,0.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,15.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,1/10/21,Quinnipiac,W,1-0,0.067,3-6,0.0,0.0,0.0,1.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,2.0,4.0,31.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,1/15/21,at St. Lawrence,W,2-1,0.065,5-10,1.0,0.0,0.0,1.0,0.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,0.0,1.0,31.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,1/17/21,St. Lawrence,L,1-2,0.032,2-4,1.0,0.0,0.0,0.0,0.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,1.0,2.0,36.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,1/22/21,at Quinnipiac,T,1-1,0.028,5-10,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,15.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,1/23/21,at Quinnipiac,T,1-1,0.067,8-27,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,39.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,1/24/21,at Quinnipiac,L,2-4,0.051,8-16,1.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,3.0,5.0,19.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,2/04/21,at Colgate,W,2-0,0.105,2-4,1.0,0.0,0.0,1.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,32.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,2/06/21,Colgate,T,1-1,0.031,5-10,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,2.0,4.0,26.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,2/26/21,Colgate,L,2-3,0.077,8-27,1.0,1.0,0.0,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,3.0,5.0,23.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,2/28/21,at Colgate,L,2-3,0.087,4-8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,52.0,84.0,136.0,601.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,,Opponents,,52-62,0.087,97-227,15.0,1.0,1.0,7.0,1.0,4.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,62.0,95.0,157.0,633.0,,,,,,,0.0,,,,,,,,,,2020-21,Table_7,,,,,,,,,,,,,,Clarkson,,62-52,0.098,99-220,16.0,1.0,1.0,11.0,0.0,4.0,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-21,Table_8,,,,,,,,0.0,1.0,0.0,,,11/22/20,Colgate,L,,,,0.0,0.0,0.0,,,,,1-2,60:00,2.0,2.0,23.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,
